step	loss
0	0.513681948184967
1	0.33930179476737976
2	0.3334049880504608
3	0.3057471811771393
4	0.286307156085968
5	0.2505761384963989
6	0.20872940123081207
7	0.18259038031101227
8	0.1550903618335724
9	0.1335165947675705
