step	jaccard_coeff
0	0.0
1	0.0
2	0.0
3	0.011848034949548914
4	0.004367611674861387
5	0.5100928421683139
6	0.4958260355298774
7	0.5434607332326059
8	0.5520023252809715
9	0.5515949765330858
