step	dice
0	0.0
1	0.0
2	0.0
3	0.023418605443335492
4	0.008697237195010806
5	0.6755781206616159
6	0.6629461230820699
7	0.7042106372144475
8	0.7113421369146957
9	0.7110038184908029
